file_path,file_name,file_size,location,status
/content/drive/My Drive/organized_ai_models/misc/model-00007-of-00046.safetensors,model-00007-of-00046.safetensors,N/A,Active,Error: [Errno 2] No such file or directory: '/content/drive/My Drive/organized_ai_models/misc/model-00007-of-00046.safetensors'
/content/drive/My Drive/organized_ai_models/misc/model-00008-of-00046.safetensors,model-00008-of-00046.safetensors,N/A,Active,Error: [Errno 2] No such file or directory: '/content/drive/My Drive/organized_ai_models/misc/model-00008-of-00046.safetensors'
/content/drive/My Drive/organized_ai_models/misc/model-00009-of-00046.safetensors,model-00009-of-00046.safetensors,N/A,Active,Error: [Errno 2] No such file or directory: '/content/drive/My Drive/organized_ai_models/misc/model-00009-of-00046.safetensors'
/content/drive/My Drive/organized_ai_models/misc/model-00010-of-00046.safetensors,model-00010-of-00046.safetensors,N/A,Active,Error: [Errno 2] No such file or directory: '/content/drive/My Drive/organized_ai_models/misc/model-00010-of-00046.safetensors'
/content/drive/My Drive/organized_ai_models/misc/model-00011-of-00046.safetensors,model-00011-of-00046.safetensors,N/A,Active,Error: [Errno 2] No such file or directory: '/content/drive/My Drive/organized_ai_models/misc/model-00011-of-00046.safetensors'
/content/drive/My Drive/organized_ai_models/misc/model-00012-of-00046.safetensors,model-00012-of-00046.safetensors,N/A,Active,Error: [Errno 2] No such file or directory: '/content/drive/My Drive/organized_ai_models/misc/model-00012-of-00046.safetensors'
/content/drive/My Drive/organized_ai_models/misc/model-00013-of-00046.safetensors,model-00013-of-00046.safetensors,N/A,Active,Error: [Errno 2] No such file or directory: '/content/drive/My Drive/organized_ai_models/misc/model-00013-of-00046.safetensors'
/content/drive/My Drive/organized_ai_models/misc/model-00014-of-00046.safetensors,model-00014-of-00046.safetensors,N/A,Active,Error: [Errno 2] No such file or directory: '/content/drive/My Drive/organized_ai_models/misc/model-00014-of-00046.safetensors'
/content/drive/My Drive/organized_ai_models/misc/model-00015-of-00046.safetensors,model-00015-of-00046.safetensors,N/A,Active,Error: [Errno 2] No such file or directory: '/content/drive/My Drive/organized_ai_models/misc/model-00015-of-00046.safetensors'
/content/drive/My Drive/organized_ai_models/misc/model-00016-of-00046.safetensors,model-00016-of-00046.safetensors,N/A,Active,Error: [Errno 2] No such file or directory: '/content/drive/My Drive/organized_ai_models/misc/model-00016-of-00046.safetensors'
/content/drive/My Drive/organized_ai_models/misc/model-00017-of-00046.safetensors,model-00017-of-00046.safetensors,N/A,Active,Error: [Errno 2] No such file or directory: '/content/drive/My Drive/organized_ai_models/misc/model-00017-of-00046.safetensors'
/content/drive/My Drive/organized_ai_models/misc/model-00018-of-00046.safetensors,model-00018-of-00046.safetensors,N/A,Active,Error: [Errno 2] No such file or directory: '/content/drive/My Drive/organized_ai_models/misc/model-00018-of-00046.safetensors'
/content/drive/My Drive/organized_ai_models/misc/model-00019-of-00046.safetensors,model-00019-of-00046.safetensors,N/A,Active,Error: [Errno 2] No such file or directory: '/content/drive/My Drive/organized_ai_models/misc/model-00019-of-00046.safetensors'
/content/drive/My Drive/organized_ai_models/misc/model-00020-of-00046.safetensors,model-00020-of-00046.safetensors,N/A,Active,Error: [Errno 2] No such file or directory: '/content/drive/My Drive/organized_ai_models/misc/model-00020-of-00046.safetensors'
/content/drive/My Drive/organized_ai_models/misc/model-00021-of-00046.safetensors,model-00021-of-00046.safetensors,N/A,Active,Error: [Errno 2] No such file or directory: '/content/drive/My Drive/organized_ai_models/misc/model-00021-of-00046.safetensors'
